sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
JG-AV-GTA-1,,Games,simple,"Games,Games/Simulação",games_ibc,Grand Theft Auto V  - Xbox One,,,0.330000,1,0,"Catalog, Search",153.900000,,,,grand-theft-autov,Grand Theft Auto V  - Xbox One,Grand Theft Auto V  - Xbox One,Grand Theft Auto V  - Xbox One ,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,,10/09/2021 16:43,10/09/2021 17:21,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=18,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/715oHMr9ZlL._AC_SL1020_.jpg,,,,,,,,,,,,,,
JG-AV-RDR-1,,Games,simple,"Games,Games/Simulação,Games/Aventura",games_ibc,Red Dead Redemption 2 - Xbox One,,,0.330000,1,0,"Catalog, Search",167.800000,,,,red-dead,Red Dead Redemption 2 - Xbox One,,,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,,10/09/2021 16:43,10/09/2021 17:22,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=18,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/71CUzL-AfRL._AC_SX522_.jpg,,,,,,,,,,,,,,
JG-SM-M-1,,Games,simple,"Games,Games/Simulação,Games/Aventura",games_ibc,Minecraft - Xbox One,,,0.330000,1,0,"Catalog, Search",63.070000,,,,minecraft,Minecraft - Xbox One,,,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:22,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=Livre,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/91Y7aOJc3rL._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-LT-MK11-1,,Games,simple,"Games,Games/Luta",games_ibc,Mortal Kombat 11 - Xbox One,,,0.330000,1,0,"Catalog, Search",251.900000,,,,mortal-kombat11,Mortal Kombat 11 - Xbox One,,,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:23,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=18,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/81U8nPkjUgL._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-LT-UFC-1,,Games,simple,"Games,Games/Luta",games_ibc,UFC 3 - Xbox One,,,0.330000,1,0,"Catalog, Search",99.900000,,,,ufc3,UFC 3 - Xbox One,,,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:23,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=14,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/9181+pprzfL._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-LT-IG-1,,Games,simple,"Games,Games/Luta",games_ibc,Injustice Gods Among Us - Xbox 360,,,0.330000,1,0,"Catalog, Search",249.900000,,,,injustice-gods,Injustice Gods Among Us - Xbox 360,,,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:24,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=16,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/918-fPWSkzL._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-ES-BR-1,,Games,simple,"Games,Games/Estratégia",games_ibc,Battlefield Revolution - Xbox One,,,0.330000,1,0,"Catalog, Search",88.990000,,,,battlefield-revolution,Battlefield Revolution - Xbox One,,,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:24,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=16,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/914Tm8Y3xGL._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-TE-BW-1,,Games,simple,"Games,Games/Terror",games_ibc,Blair Witch - Xbox One,,,0.330000,1,0,"Catalog, Search",284.980000,,,,blair-witch,Blair Witch - Xbox One,,,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:25,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=18,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/91x0Wr36BZL._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-TE-RE-1,,Games,simple,"Games,Games/Aventura,Games/Terror",games_ibc,Resident Evil 3 - Xbox One,,,0.330000,1,0,"Catalog, Search",138.680000,,,,resident-evil3,Resident Evil 3 - Xbox One,Resident Evil 3 - Xbox One,Resident Evil 3 - Xbox One,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,,10/09/2021 16:43,10/09/2021 17:25,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=16,multiplayer=Sim",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/81FrvcYSI3L._AC_SL1500_.jpg,,,,,,,,,,,,,,
JG-ES-TH-1,,Games,simple,"Games,Games/Simulação,Games/Esporte",games_ibc,Tony Hawk's Pro Skater 1 + 2 - Xbox One,,,0.330000,1,0,"Catalog, Search",329.900000,,,,tony-hawk-s-pro-skater-1-2,Tony Hawk's Pro Skater 1 + 2 - Xbox One,Tony Hawk's Pro Skater 1 + 2 - Xbox One,Tony Hawk's Pro Skater 1 + 2 - Xbox One ,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,,10/09/2021 16:43,10/09/2021 17:26,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"age_rating=12,multiplayer=Não",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,https://m.media-amazon.com/images/I/611yx73d4cL._AC_SL1000_.jpg,,,,,,,,,,,,,,
