source_code,sku,status,quantity
default,SKT-SH-1,1,50.0000
default,SKT-SH-2,1,50.0000
default,SKT-SH-3,1,50.0000
default,SKT-LX-1,1,40.0000
default,SKT-LX-2,1,35.0000
default,SKT-LX-3,1,35.0000
default,SKT-RO-1,1,50.0000
default,SKT-RO-2,1,50.0000
default,SKT-RO-3,1,50.0000
default,SKT-CO-1,1,30.0000
default,SKT-CO-2,1,30.0000
default,SKT-CO-3,1,30.0000
default,SKT-TK-2,1,40.0000
default,SKT-TK-3,1,35.0000
default,SKT-TK-1,1,35.0000
default,SKT-AC-1,1,30.0000
default,SKT-AC-2,1,30.0000
default,SKT-CO-4,1,30.0000
default,SKT-CO-5,1,30.0000
default,SKT-RO-4,1,50.0000
default,SK-KIT-1,1,100
default,SK-KIT-2,1,100
