sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
SKT-SH-1,,Skate,simple,"Skate,Skate/Shapes",skate_ibc,Shape Santa Cruz Powerlyte Screaming Hand 7.50,,,1.300000,1,0,"Catalog, Search",300.000000,,,,shape-santa-cruz,Shape Santa Cruz,Shape Santa Cruz,Shape Santa Cruz ,,,,,,,,,03/09/2021 12:04,03/09/2021 12:44,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,"shape_size=13.000000,shape_type=17.000000",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-SH-2,,Skate,simple,"Skate,Skate/Shapes",skate_ibc,Shape Element Peanuts WWFE 8.250,,,1.000000,1,0,"Catalog, Search",250.000000,,,,shape-peanuts,,,,,,,,,,,,03/09/2021 12:04,03/09/2021 12:34,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,"shape_size=11.000000,shape_type=18.000000",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-SH-3,,Skate,simple,"Skate,Skate/Shapes",skate_ibc,Shape Element Lamour Shroom 8.0,,,8.000000,1,0,"Catalog, Search",320.000000,,,,shape-mushroom,,,,,,,,,,,,03/09/2021 12:06,03/09/2021 12:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,United States,"shape_size=13.000000,shape_type=17.000000",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-LX-1,,Skate,simple,"Skate,Skate/Lixas",skate_ibc,Lixa Emborrachada Black Sheep Psycho,,,0.100000,1,0,"Catalog, Search",16.900000,,,,lixa,Lixa,Lixa,Lixa ,,,,,,,,,03/09/2021 12:11,03/09/2021 12:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,France,"shape_size=14.000000,shape_type=16.000000",40.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-LX-2,,Skate,simple,"Skate,Skate/Lixas",skate_ibc,Lixa Nacional Boss,,,0.100000,1,0,"Catalog, Search",19.900000,,,,lixa-1,,,,,,,,,,,,03/09/2021 12:11,03/09/2021 12:53,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,"shape_size=11.000000,shape_type=17.000000",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-LX-3,,Skate,simple,"Skate,Skate/Lixas",skate_ibc,Lixa Emborrachada Black Sheep Limited Area,,,0.100000,1,0,"Catalog, Search",15.900000,,,,lixa-2,,,,,,,,,,,,03/09/2021 12:13,03/09/2021 12:53,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,"shape_size=12.000000,shape_type=16.000000",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-RO-1,,Skate,simple,"Skate,Skate/Rodas",skate_ibc,Roda Iron Long Hypnotic 83mm - Azul,,,0.400000,1,0,"Catalog, Search",98.000000,,,,roda-iron-long-hypnotic-83mm-azul,Roda Iron Long Hypnotic 83mm - Azul,Roda Iron Long Hypnotic 83mm - Azul,Roda Iron Long Hypnotic 83mm - Azul ,,,,,,,,,03/09/2021 12:56,03/09/2021 13:00,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-RO-2,,Skate,simple,"Skate,Skate/Rodas",skate_ibc,Roda Venom Pipe Finders 57mm,,,0.400000,1,0,"Catalog, Search",150.000000,,,,roda-iron-long-hypnotic-83mm-azul-1,,,,,,,,,,,,03/09/2021 12:56,03/09/2021 12:59,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-RO-3,,Skate,simple,"Skate,Skate/Rodas",skate_ibc,Roda Black Sheep 53mm,,,0.300000,1,0,"Catalog, Search",150.000000,,,,roda-iron-long-hypnotic-83mm-azul-2,,,,,,,,,,,,03/09/2021 12:57,03/09/2021 12:58,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKT-CO-1,,Skate,simple,"Skate,Skate/Skates Completos",skate_ibc,Skate Completo Profissional Santa Cruz C Moska E Red Bones,,,2.500000,1,0,"Catalog, Search",799.000000,,,,skate-completo-profissional-santa-cruz-c-moska-e-red-bones,Skate Completo Profissional Santa Cruz C Moska E Red Bones,Skate Completo Profissional Santa Cruz C Moska E Red Bones,Skate Completo Profissional Santa Cruz C Moska E Red Bones ,,,,,,,,,03/09/2021 13:04,03/09/2021 13:04,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Brazil,"shape_size=13.000000,shape_type=16.000000",30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
